ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
Achleitner1884,Achleitner 1884,1884,"Aus dem Walde. Lieder. ""Im wunderschönen Monat Mai ..."". Überackern 1884",,Kellnarn,Karl,,Überackern,,,,,,Literatur,Literar.Text,Lieder
Achleitner1889,Achleitner 1889,1889,Weil ma’ in d’Welt taug’n Gedichte in oberösterreichischer Mundart.,,,,Hamburg,,,,erg. MHF,"Achleitner 1889 = Achleitner, C. (1889). Weil ma’ in d’Welt taug’n! Gedichte in oberösterreichischer Mundart. Hamburg",,Literatur,Literar.Text,Gedichte
Adelung1796II,Adelung 1796 II,1796,"Grammatisch-kritisches Wörterbuch der hochdeutschen Mundart, mit beständiger Vergleichung der übrigen Mundarten, besonders aber der Oberdeutschen.",Band 2: F–L,Societad Retorumantscha (Hrsg.),Johann Christoph,Leipzig,Johann Gottlob Immanuel Breitkopf und Compagnie,,1,,,,Literatur,Fachliteratur,Wörterbuch
Alton1897,Alton 1897,1897,"Die ladinischen Idiome in Ladinien, Gröden, Fassa, Buchenstein, Ampezzo",,Alton,Johann,Innsbruck,Wagner'sche,,,,,,Literatur,,
Arbeiterztg,Arbeiterztg.,1889–1934. 1945–1985,Arbeiterzeitung. Zentralorgan der SozialistischenPartei Österreichs,,,,Wien,,,,,,,Literatur,Journalist.Text,Zeitung
Artmann1958,Artmann 1958,1958,med ana schwoazzn dintn. gedichta r aus bradnsee. 8. Aufl.,,Artmann,Hans Carl,Salzburg,,,,,,,Literatur,Literar.Text,Gedichte
AWB_online,AWB online,,Althochdeutsches Wörterbuch. Auf Grund der von Elias v. Steinmeyer hinterlassenen Sammlungen im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig. Online verfügbar unter http://awb.saw-leipzig.de/,,,,Leipzig,Akademie-Verlag,https://www.saw-leipzig.de/de,,,,,Literatur,Fachliteratur,Wörterbuch
AWB1968I,AWB 1968 I,1968,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings",Band 1: A und B,Karg-Gasterstädt/Frings (Hrsg.),Elisabeth/Theodor,Berlin,Akademie-Verlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
AWB1985III,AWB 1985 III,1985,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings",Band 3: E und F,Große (Hrsg.),Rudolf,Berlin,Akademie-Verlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
AWB1997II,AWB 1997 II,1997,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings.",Band 2: C und D,Große (Hrsg.),Rudolf,Berlin,Akademie-Verlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
AWB2002IV,AWB 2002 IV,2002,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings",Band 4: G–J,Große (Hrsg.),Rudolf,Berlin,Akademie-Verlag,,1,,,,Literatur,Fachliteratur,Wörterbuch
AWB2009V,AWB 2009 V,2009,"AWB = Althochdeutsches Wörterbuch. Auf Grund der von Elias von Steinmeyer hinterlassenen Sammlungen, im Auftrag der Sächsischen Akademie der Wissenschaften zu Leipzig begr. v. Elisabeth Karg-Gasterstädt u. Theodor Frings.",Band 5: K und L,Große (Hrsg.),Rudolf,Berlin,Akademie-Verlag,,,,,,Literatur,Fachliteratur,Wörterbuch
Bauer1967,Bauer 1967,1967,Lautlehre der Mundart des Lungaus mit besonderer Berücksichtigung von Zederhaus. Diss. (masch.),,Bauer ,Werner,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
BDO,BDO,,"BDO | Bayerns Dialekte Online, https://bdo.badw.de/",,,,,,,,,,,Literatur,Fachliteratur,Wörterbuch
Bergmann2007,Bergmann 2007,2007,"Gröfel, Gröben 'Steinhaufen' – Dialektologisches und Namenkundliches rund um einen Slawismus im Bairischen. In Jezikoslovni zapiski 13(1–2), S. 43–58.",,Bergmann,Hubert,,,,,,,,Literatur,Fachliteratur,Wiss.Zeitschriftenartikel
Binder1968,Binder 1968,1986,Die Mundart von Prambachkirchen bei Eferding,,Binder,Gerda,Wien,Notring,,,,,,Literatur,,
